"transaction","contract_id","reportingStart","reportingEnd","country","region","contract_volume_MWh","allocation_id","minerID","miner locations","allocation_volume_MWh","energy_use"
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_90","2020-11-01","2020-11-30","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_90","f01278","",1,0.094262545281024
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_91","2020-12-01","2020-12-31","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_91","f01278","",1,0.22629097044566399
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_92","2021-01-01","2021-01-31","US","RFC",2,"20211115_3D_PL_transaction_1_allocation_92","f01278","",2,0.655351608444576
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_93","2021-02-01","2021-02-28","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_93","f01278","",1,0.240825849069312
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_94","2021-03-01","2021-03-31","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_94","f01278","",1,0.760602815152224
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_95","2021-04-01","2021-04-30","US","RFC",2,"20211115_3D_PL_transaction_1_allocation_95","f01278","",2,0.678576304162944
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_96","2021-05-01","2021-05-31","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_96","f01278","",1,0.491581449588192
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_97","2021-06-01","2021-06-30","US","RFC",2,"20211115_3D_PL_transaction_1_allocation_97","f01278","",2,0.488955099714816
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_98","2021-07-01","2021-07-31","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_98","f01278","",1,0.5816318892265919
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_99","2021-08-01","2021-08-31","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_99","f01278","",1,0.866327053001952
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_100","2021-01-01","2021-12-31","AU",,2,"20211115_3D_PL_transaction_1_allocation_100","f014365","",2,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_101","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_101","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_102","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_102","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_103","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_103","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_104","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_104","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_105","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_105","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_106","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_106","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_107","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_107","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_108","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_108","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_109","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_109","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_110","2021-01-01","2021-12-31","AU",,1,"20211115_3D_PL_transaction_1_allocation_110","f014365","",1,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_111","2020-07-01","2021-03-31","CA",,1,"20211115_3D_PL_transaction_1_allocation_111","f019104","",1,1.513621557134976
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_112","2020-07-01","2021-03-31","CA",,1,"20211115_3D_PL_transaction_1_allocation_112","f019104","",1,1.513621557134976
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_113","2020-07-01","2021-03-31","CA",,1,"20211115_3D_PL_transaction_1_allocation_113","f019104","",1,1.513621557134976
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_114","2020-07-01","2021-03-31","CA",,1,"20211115_3D_PL_transaction_1_allocation_114","f019104","",1,1.513621557134976
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_115","2021-01-01","2021-01-31","CA",,2,"20211115_3D_PL_transaction_1_allocation_115","f019104","",2,0.25608936843648
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_116","2021-02-01","2021-02-28","CA",,1,"20211115_3D_PL_transaction_1_allocation_116","f019104","",1,0.312644317307904
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_117","2021-03-01","2021-03-31","CA",,1,"20211115_3D_PL_transaction_1_allocation_117","f019104","",1,0.607619963348448
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_118","2021-04-01","2021-04-30","CA",,1,"20211115_3D_PL_transaction_1_allocation_118","f019104","",1,0.36237967011072
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_119","2021-05-01","2021-05-31","CA",,1,"20211115_3D_PL_transaction_1_allocation_119","f019104","",1,0.40111858539648
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_120","2021-06-01","2021-06-30","CA",,1,"20211115_3D_PL_transaction_1_allocation_120","f019104","",1,0.40475398443494404
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_121","2021-07-01","2021-07-31","CA",,2,"20211115_3D_PL_transaction_1_allocation_121","f019104","",2,0.437137397146368
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_122","2021-08-01","2021-08-31","CA",,2,"20211115_3D_PL_transaction_1_allocation_122","f019104","",2,0.76746255622752
